ime,category
considerateness,consideration
"George Fox",Fox
"Lafora's disease","myoclonus epilepsy"
cocky-leeky,cock-a-leekie
totalism,absolutism
"prompt copy",promptbook
nephropathy,"kidney disease"
"arteria ileum","ileal artery"
"jack ladder","Jacob's ladder"
"bells of Ireland","molucca balm"
hexenbesen,"witches' broom"
"lamp shell",brachiopod
deadness,unresponsiveness
"putting to death",killing
"boeuf fondu bourguignon","beef fondue"
unfaithfulness,infidelity
basketeer,"basketball player"
"place of origin",birthplace
credibleness,credibility
"Istiophorus albicans","Atlantic sailfish"
"Automeris io","io moth"
chamfron,chanfron
s.t.p.,STP
recorder,registrar
recorder,"fipple flute"
"potato disease","potato blight"
condemnation,disapprobation
condemnation,execration
condemnation,conviction
"Rhododendron maxima",rosebay
glycerin,glycerol
"Xishuangbanna Dai","Tai Lue"
guinea,"guinea fowl"
iciness,chill
iciness,coldness
disembarkation,debarkation
wannabe,aspirant
"ghost gum","snow gum"
"reverse Polish notation","postfix notation"
"slime bacteria",myxobacteria
prothalamium,prothalamion
seacoast,seashore
"retail store","mercantile establishment"
remnant,leftover
remnant,remainder
"Humboldt current","Peruvian current"
"Pipistrellus subflavus","eastern pipistrel"
cacography,scribble
"New York aster","Michaelmas daisy"
regurgitation,vomit
"beefsteak geranium","rex begonia"
serranid,"serranid fish"
"tupelo tree",tupelo
"sit-down strike",sit-down
"acute inclusion body encephalitis","herpes simplex encephalitis"
cragsman,"rock climber"
"ticket office","box office"
"sand berry","common bearberry"
"religious cult",cult
verdure,greenery
verdure,greenness
crossover,"crossing over"
crossover,"crossover voter"
crossover,crossing
caudex,stock
boniness,bonyness
"regression curve","regression line"
"Platanus occidentalis","American sycamore"
"touch modality",touch
gulping,gulp
nacre,mother-of-pearl
"duty period",shift
"Gaussian curve","normal curve"
boniface,host
"cranial orbit","eye socket"
expatriate,exile
miserableness,misery
"blood transfusion",transfusion
lifetime,life
tiresomeness,tediousness
"life history",biography
"life history",career
"Fritillaria agrestis","stink bell"
diddly-squat,jack
dribble,drip
dribble,drool
practice,exercise
parlourmaid,parlormaid
"extinction angle","angle of extinction"
"coachwhip snake",coachwhip
kinkajou,potto
gay-feather,"blazing star"
"Pagellus centrodontus","European sea bream"
reportage,coverage
banknote,bill
"skin colour",complexion
waltz,walk-in
"litter lout",litterer
"Spraguea umbellatum",pussy-paw
issuance,issue
disaffection,alienation
period,"time period"
period,menstruation
scribe,copyist
scribe,scriber
"trouser leg","pant leg"
"Iris tingitana","Dutch iris"
gazillion,million
"musculus pectoralis major","pectoralis major"
blinker,winker
"disease of the skin","skin disease"
primogenitor,progenitor
in-tray,in-basket
"plexus myentericus","myenteric plexus"
pearl-weed,pearlwort
caleche,calash
"preacher man",preacher
